

Esbly;77450;77171
Esmans;77940;77172
Étrépilly;77139;77173
Everly;77157;77174
Évry-Grégy-sur-Yerre;77166;77175
Faremoutiers;77515;77176
Favières;77220;77177
Faÿ-lès-Nemours;77167;77178
Féricy;77133;77179
Férolles-Attilly;77150;77180
Ferrières-en-Brie;77164;77181
La Ferté-Gaucher;77320;77182
La Ferté-sous-Jouarre;77260;77183
Flagy;77940;77184
Fleury-en-Bière;77930;77185
Fontainebleau;77300;77186
Fontaine-Fourches;77480;77187
Fontaine-le-Port;77590;77188
Fontains;77370;77190
Fontenailles;77370;77191
Fontenay-Trésigny;77610;77192
Forfry;77165;77193
Forges;77130;77194
Fouju;77390;77195
Fresnes-sur-Marne;77410;77196
Frétoy;77320;77197
Fromont;77760;77198
Fublaines;77470;77199
Garentreville;77890;77200
Gastins;77370;77201
La Genevraye;77690;77202
Germigny-l'Évêque;77910;77203
Germigny-sous-Coulombs;77840;77204
Gesvres-le-Chapitre;77165;77205
Giremoutiers;77120;77206
Gironville;77890;77207
Gouaix;77114;77208
Gouvernes;77400;77209
La Grande-Paroisse;77130;77210
Grandpuits-Bailly-Carrois;77720;77211
Gravon;77118;77212
Gressy;77410;77214
Gretz-Armainvilliers;77220;77215
Grez-sur-Loing;77880;77216
Grisy-Suisnes;77166;77217
Grisy-sur-Seine;77480;77218
Guérard;77580;77219
Guercheville;77760;77220
Guermantes;77600;77221
Guignes;77390;77222
Gurcy-le-Châtel;77520;77223
Hautefeuille;77515;77224
La Haute-Maison;77580;77225
Héricy;77850;77226
Hermé;77114;77227
Hondevilliers;77510;77228
La Houssaye-en-Brie;77610;77229
Ichy;77890;77230
Isles-les-Meldeuses;77440;77231
Isles-lès-Villenoy;77450;77232
Iverny;77165;77233
Jablines;77450;77234
Jaignes;77440;77235
Jaulnes;77480;77236
Jossigny;77600;77237
Jouarre;77640;77238
Jouy-le-Châtel;77970;77239
Jouy-sur-Morin;77320;77240
Juilly;77230;77241
Jutigny;77650;77242
Lagny-sur-Marne;77400;77243
Larchant;77760;77244
Laval-en-Brie;77148;77245
Léchelle;77171;77246
Lescherolles;77320;77247
Lesches;77450;77248
Lésigny;77150;77249
Leudon-en-Brie;77320;77250
Lieusaint;77127;77251
Limoges-Fourches;77550;77252
Lissy;77550;77253
Liverdy-en-Brie;77220;77254
Livry-sur-Seine;77000;77255
Lizines;77650;77256
Lizy-sur-Ourcq;77440;77257
Lognes;77185;77258
Longperrier;77230;77259
Longueville;77650;77260
Lorrez-le-Bocage-Préaux;77710;77261
Louan-Villegruis-Fontaine;77560;77262
Luisetaines;77520;77263
Lumigny-Nesles-Ormeaux;77540;77264
Luzancy;77138;77265
Machault;77133;77266
La Madeleine-sur-Loing;77570;77267
Magny-le-Hongre;77700;77268
Maincy;77950;77269
Maisoncelles-en-Brie;77580;77270
Maisoncelles-en-Gâtinais;77570;77271
Maison-Rouge;77370;77272
Marchémoret;77230;77273
Marcilly;77139;77274
Les Marêts;77560;77275
Mareuil-lès-Meaux;77100;77276
Marles-en-Brie;77610;77277
Marolles-en-Brie;77120;77278
Marolles-sur-Seine;77130;77279
Mary-sur-Marne;77440;77280
Mauperthuis;77120;77281
Mauregard;77990;77282
May-en-Multien;77145;77283
Meaux;77100;77284
Le Mée-sur-Seine;77350;77285
Meigneux;77520;77286
Meilleray;77320;77287
Melun;77000;77288
Melz-sur-Seine;77171;77289
Méry-sur-Marne;77730;77290
Le Mesnil-Amelot;77990;77291
Messy;77410;77292
Misy-sur-Yonne;77130;77293
Mitry-Mory;77290;77294
Moisenay;77950;77295
Moissy-Cramayel;77550;77296
Mondreville;77570;77297
Mons-en-Montois;77520;77298
Montarlot;77250;77299
Montceaux-lès-Meaux;77470;77300
Montceaux-lès-Provins;77151;77301
Montcourt-Fromonville;77140;77302
Montdauphin;77320;77303
Montenils;77320;77304
Montereau-Fault-Yonne;77130;77305
Montereau-sur-le-Jard;77950;77306
Montévrain;77144;77307
Montgé-en-Goële;77230;77308
Monthyon;77122;77309
Montigny-le-Guesdier;77480;77310
Montigny-Lencoup;77520;77311
Montigny-sur-Loing;77690;77312
Montmachoux;77940;77313
Montolivet;77320;77314
Montry;77450;77315
Moret-sur-Loing;77250;77316
Mormant;77720;77317
Mortcerf;77163;77318
Mortery;77160;77319
Mouroux;77120;77320
Mousseaux-lès-Bray;77480;77321
Moussy-le-Neuf;77230;77322
Moussy-le-Vieux;77230;77323
Mouy-sur-Seine;77480;77325
Nandy;77176;77326
Nangis;77370;77327
Nanteau-sur-Essonne;77760;77328
Nanteau-sur-Lunain;77710;77329
Nanteuil-lès-Meaux;77100;77330
Nanteuil-sur-Marne;77730;77331
Nantouillet;77230;77332
Nemours;77140;77333
Chauconin-Neufmontiers;77124;77335
Neufmoutiers-en-Brie;77610;77336
Noisiel;77186;77337
Noisy-Rudignon;77940;77338
Noisy-sur-École;77123;77339
Nonville;77140;77340
Noyen-sur-Seine;77114;77341
Obsonville;77890;77342
Ocquerre;77440;77343
Oissery;77178;77344
Orly-sur-Morin;77750;77345
Les Ormes-sur-Voulzie;77134;77347
Ormesson;77167;77348
Othis;77280;77349
Ozoir-la-Ferrière;77330;77350
Ozouer-le-Voulgis;77390;77352
Paley;77710;77353
Pamfou;77830;77354
Paroy;77520;77355
Passy-sur-Seine;77480;77356
Pécy;77970;77357
Penchard;77124;77358
Perthes;77930;77359
Pézarches;77131;77360
Pierre-Levée;77580;77361
Le Pin;77181;77363
Le Plessis-aux-Bois;77165;77364
Le Plessis-Feu-Aussoux;77540;77365
Le Plessis-l'Évêque;77165;77366
Le Plessis-Placy;77440;77367
Poigny;77160;77368
Poincy;77470;77369
Poligny;77167;77370
Pommeuse;77515;77371
Pomponne;77400;77372
Pontault-Combault;77340;77373
Pontcarré;77135;77374
Précy-sur-Marne;77410;77376
Presles-en-Brie;77220;77377
Pringy;77310;77378
Provins;77160;77379
Puisieux;77139;77380
Quiers;77720;77381
Quincy-Voisins;77860;77382
Rampillon;77370;77383
Réau;77550;77384
Rebais;77510;77385
Recloses;77760;77386
Remauville;77710;77387
Reuil-en-Brie;77260;77388
La Rochette;77000;77389
Roissy-en-Brie;77680;77390
Rouilly;77160;77391
Rouvres;77230;77392
Rozay-en-Brie;77540;77393
Rubelles;77950;77394
Rumont;77760;77395
Rupéreux;77560;77396
Saâcy-sur-Marne;77730;77397
Sablonnières;77510;77398
Saint-Ange-le-Viel;77710;77399
Saint-Augustin;77515;77400
Sainte-Aulde;77260;77401
Saint-Barthélemy;77320;77402
Saint-Brice;77160;77403
Sainte-Colombe;77650;77404
